name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,18,0.79,0.71,0.82,0.94,0.49,0.44,0.000969172,0.001245975,0.000895023,0.001037121,0.00406599,0.002621889
cemiyyet,18,0.82,0.82,0.82,0.51,0.48,0.34,0.000606298,0.000667095,0.001013994,0.001224041,0.001247168,0.000574827
cemiyyet,19,0.55,0.55,0.99,0.45,0.52,0.26,0.003175974,0.010783195,0.001149893,0.005492926,0.003652811,0.001305819
cemiyyet,19,0.55,0.98,0.55,0.42,0.38,0.4,0.003430843,0.000736952,0.00336194,0.002118111,0.001449108,0.002275229
cemiyyet,19,0.55,0.98,0.56,0.43,0.49,0.28,0.003363132,0.000677109,0.003042936,0.003345013,0.005373955,0.000984907
cemiyyet,19,0.99,0.55,0.56,0.5,0.28,0.34,0.000880003,0.003368378,0.003342867,0.004025221,0.001153946,0.001680851
cemiyyet,20,0.6,0.6,0.55,0.42,0.49,0.44,0.002379179,0.002551794,0.003669024,0.004899025,0.002931833,0.001899004
cemiyyet,20,0.6,0.97,0.61,0.43,0.27,0.41,0.002513885,0.000716925,0.00324893,0.002269745,0.012000084,0.001573801
cemiyyet,20,0.6,0.97,0.61,0.49,0.32,0.41,0.002054214,0.000674248,0.002599001,0.004040956,0.00108695,0.002335072
cemiyyet,20,0.55,0.61,0.61,0.46,0.38,0.31,0.0025599,0.002900124,0.002680063,0.005460978,0.002263069,0.002348185
cemiyyet,21,0.99,0.96,0.83,0.38,0.44,0.41,0.001323938,0.00056076,0.000720263,0.003443956,0.002286673,0.001071692
cemiyyet,21,0.99,0.92,0.8,0.53,0.49,0.42,0.000503063,0.000507832,0.00093174,0.001849174,0.002187014,0.001774073
cemiyyet,21,0.96,0.92,0.85,0.47,0.48,0.41,0.001136065,0.000577927,0.000681877,0.001559019,0.002322912,0.001380682
cemiyyet,21,0.83,0.8,0.85,0.42,0.46,0.32,0.000737906,0.000876904,0.000669956,0.001208782,0.003014088,0.000861168
cemiyyet,22,0.99,0.99,0.99,0.34,0.47,0.36,0.000782013,0.001004219,0.00103879,0.001470804,0.00509119,0.002174139
cemiyyet,22,0.99,0.96,0.95,0.46,0.48,0.37,0.00069499,0.001157761,0.002835035,0.005399227,0.006248951,0.002724886
cemiyyet,22,0.99,0.96,0.99,0.45,0.29,0.38,0.001716852,0.002577782,0.002510786,0.010660172,0.00212574,0.002249002
cemiyyet,22,0.99,0.95,0.99,0.42,0.4,0.22,0.003236771,0.001610994,0.001116753,0.007706165,0.006938696,0.003394842
cemiyyet,23,0.52,0.59,0.59,0.34,0.2,0.42,0.001169205,0.003056049,0.000932217,0.003610849,0.006035089,0.001290083
cemiyyet,23,0.52,0.57,0.57,0.35,0.38,0.41,0.001894236,0.002238989,0.001225948,0.003162861,0.002275705,0.001115084
cemiyyet,23,0.59,0.57,0.94,0.39,0.5,0.4,0.000791788,0.000743151,0.000280142,0.001565933,0.001327038,0.001446962
cemiyyet,23,0.59,0.57,0.94,0.15,0.43,0.42,0.001460075,0.001944065,0.001196146,0.005485058,0.000802755,0.001199961
cemiyyet,24,0.95,0.93,0.95,0.29,0.38,0.4,0.000509262,0.000659943,0.001200914,0.011974812,0.001497269,0.000746012
cemiyyet,24,0.95,0.97,0.95,0.47,0.4,0.43,0.000331879,0.000296116,0.00077486,0.001551867,0.00104928,0.003262997
cemiyyet,24,0.93,0.97,0.96,0.4,0.44,0.43,0.001430035,0.001167059,0.000926971,0.002591133,0.002547979,0.001392126
cemiyyet,24,0.95,0.95,0.96,0.47,0.41,0.42,0.001712084,0.000897884,0.000449181,0.001523972,0.00241518,0.001012087
cemiyyet,25,0.99,0.19,0.63,0.36,0.38,0.46,0.000483751,0.003319025,0.001587152,0.002651215,0.002027988,0.001129389
