file,Jaro,Winkler,Levenshtein,Ratcliff_Obershelp,Fuzzy,Damerau-Levenshtein,LCSubstring,LCSubsequence
0,54.7190282,57,27.0567787,1.3710368,30,22.5072139,30.99371999,31.90056965
1,53.0959375,58,14.038073,0.7444433,70,14.8675954,68.92531456,14.03807296
1,66.7039007,70,44.8469706,43.0623717,97,44.9986616,87.85640078,44.84697064
1,82.960747,88,96.7353262,96.3681221,97,96.9189282,98.71868868,96.73532618
0,50.0198323,60,11.2308687,0.3964321,38,29.7494781,76.28996883,26.63335184
0,57.6047737,55,6.6918631,0.6990912,41,18.8268099,81.91157798,23.60593018
0,47.8575917,52,10.9243697,0.7798115,29,9.4397544,50.17892185,6.54351213
1,53.0959375,58,14.038073,1.8292034,70,14.8675954,90.94594595,14.03807296
1,59.6450542,64,36.2362972,8.4652862,74,40.1339829,90.40540541,36.2362972
1,53.0770739,58,13.9490848,1.5569114,71,14.7380602,91.35135135,13.94908479
0,57.0276686,56,36.8686869,1.3856813,39,45.018797,58.24324324,36.13399231
0,71.9153457,63,36.5963855,3.4250765,38,57.1428571,46.62162162,36.95345557
0,70.787274,76,37.0272064,1.0542169,40,55.035686,32.7027027,35.80786026
1,66.7039007,70,44.8469706,43.8475953,97,44.9986616,98.78144654,44.84697064
1,59.6450542,64,36.2362972,5.5420219,74,40.1339829,78.65566038,36.2362972
1,60.5764898,65,43.6604775,42.1750663,95,43.908046,98.82075472,43.66047745
0,77.1750478,78,37.0910803,1.4993026,43,59.9524187,83.09748428,21.34493142
0,61.4403976,69,21.6119869,1.4676451,49,58.2754127,64.26886792,28.90554723
0,51.3171225,56,20.5833054,1.703094,32,28.2375852,68.00314465,24.63492063
1,82.960747,88,96.7353262,96.3681221,97,96.9189282,99.68058407,96.73532618
1,53.0770739,58,13.9490848,1.2834,71,14.7380602,69.71252567,13.94908479
1,60.5764898,65,43.6604775,42.2811671,95,43.908046,88.85466575,43.66047745
0,49.7326416,56,23.6300711,0.1270648,51,18.9869547,60.17567876,14.83630336
0,70.8424565,59,7.6477658,1.2863535,55,32.2583609,59.57107004,19.23115129
0,48.823714,55,9.8847852,0.4616907,42,14.9392797,54.48323066,10.70055532
1,83.0111465,85,96.9522714,83.7262795,99,97.3548016,98.00910125,96.95227142
1,82.6943085,84,92.4293785,88.4180791,94,93.7853107,98.63481229,92.42937853
1,82.4643262,89,93.4169279,87.7172984,95,94.0723853,98.69169511,93.4169279
0,63.9232167,71,36.4490371,2.9495718,43,50.5700625,81.28555176,36.36950904
0,67.2600867,67,29.2288027,1.817631,46,54.9037793,69.96587031,35.36977492
0,50.361895,62,25.7220217,0.9630819,39,30.0556586,44.65301479,30.25540275
1,83.0111465,85,96.9522714,96.8372628,99,97.3548016,99.30232558,96.95227142
1,82.4727467,84,92.4614506,85.2655625,93,93.8892062,97.26744186,92.4614506
1,82.5348137,84,93.5753385,84.4137136,94,94.3820225,97.3255814,93.57533852
0,77.608604,86,26.142596,1.0424155,28,49.2954951,55.05813953,36.04522279
0,71.1921711,81,29.2233436,1.1374408,47,45.4249695,59.70930233,36.77581864
0,56.6183437,62,28.4969592,2.6326286,35,43.1837074,17.03488372,26.28062361
1,82.6943085,84,92.4293785,89.8870056,94,93.7853107,98.20426487,92.42937853
1,82.4727467,84,92.4614506,82.8669332,93,93.8892062,97.58698092,92.4614506
1,84.6881926,86,97.1978489,91.6501557,99,97.3393716,99.83164983,97.19784885
0,72.4863804,68,38.4203822,3.4182522,33,40.7407407,71.38047138,36.75351626
0,74.2952123,75,30.4878049,2.9372497,48,27.3283161,85.57800224,35.60810811
0,57.7850841,58,23.567171,1.6051364,37,44.5834963,30.07856341,33.77679231
1,82.4643262,89,93.4169279,91.1940724,95,94.0723853,98.34380354,93.4169279
1,82.5348137,84,93.5753385,88.0437914,94,94.3820225,97.71559109,93.57533852
1,84.6881926,86,97.1978489,97.0846306,99,97.3393716,99.94288978,97.19784885
0,67.4248042,79,34.3159486,1.6421485,50,47.906262,75.21416334,29.9137931
0,67.1585174,73,35.3785432,2.2140221,44,57.20885,67.73272416,27.37734706
0,57.2670965,63,37.0786517,1.3716245,40,29.6365331,40.54825814,33.25635104
1,82.9747521,90,90.6971211,60.2902689,96,92.2912206,98.93203883,90.6971211
1,82.0518836,89,91.5158637,54.947121,97,92.7144536,99.02912621,91.51586369
1,82.8571554,90,92.3959828,59.8278336,97,93.0176949,98.88349515,92.39598278
0,74.188527,68,31.6541622,2.8214171,48,28.8965858,63.00970874,32.07347227
0,75.6937641,62,34.7602189,1.6998672,40,57.6098723,56.99029126,36.59748612
0,60.6137308,57,24.8636009,1.9436997,40,34.057971,32.52427184,25.2909232
1,82.9747521,90,90.6971211,78.7532715,96,92.2912206,98.18012133,90.6971211
1,83.9633769,90,93.637621,92.4850161,97,94.3752882,99.06672888,93.63762102
1,83.6628756,90,94.912075,93.8335287,97,95.873388,98.88007466,94.91207503
0,54.8510706,68,34.4935717,2.3130013,40,33.9120798,53.33644424,37.27204597
0,64.6721236,64,39.445629,1.9365609,35,33.7527757,80.77461503,37.5059952
0,53.3704141,56,27.0588235,2.285264,20,37.8359264,33.41110593,32.1182266
1,82.0518836,89,91.5158637,77.3207991,97,92.7144536,97.40318907,91.51586369
1,83.9633769,90,93.637621,92.7616413,97,94.3752882,97.99544419,93.63762102
1,83.6062214,90,97.8920547,97.8920547,100,98.0310401,98.08656036,97.89205467
0,58.2711424,62,34.1056534,1.7467249,54,49.5229301,60.6833713,31.48528405
0,66.0813986,65,26.8771098,3.1085044,33,41.5081748,34.94305239,31.72917358
0,57.3484303,61,23.9909468,2.0493359,41,38.1492948,41.82232346,19.31908155
1,82.8571554,90,92.3959828,78.6704926,97,93.0176949,98.5862394,92.39598278
1,83.6628756,90,94.912075,94.3024619,97,95.873388,99.34024505,94.91207503
1,83.6062214,90,97.8920547,97.8920547,100,98.0310401,99.52874647,97.89205467
0,56.8168962,58,37.7117049,2.1185038,49,41.9188446,79.4533459,22.53184713
0,63.7195534,63,27.6190476,1.8704075,40,54.2696629,57.44580584,36.23868589
0,58.079547,62,30.3072144,2.448355,41,23.1960864,46.74835061,20.16260163
